C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
0.1,1.0,linear,linear,17,0.648936170212766,0.3939393939393939
0.1,1.0,linear,rbf,7,0.8900709219858156,0.4838709677419355
0.1,1.0,linear,rbf,12,0.7375886524822695,0.3333333333333333
0.1,1.0,linear,rbf,17,0.7304964539007093,0.39316239316239315
0.1,1.0,linear,sigmoid,7,0.875886524822695,0.45714285714285713
0.1,1.0,linear,sigmoid,12,0.7127659574468085,0.4
0.1,1.0,linear,sigmoid,17,0.6950354609929078,0.4406779661016949
0.1,1.0,linear,poly,7,0.851063829787234,0.23809523809523808
0.1,1.0,linear,poly,12,0.7659574468085106,0.23076923076923078
0.1,1.0,linear,poly,17,0.6985815602836879,0.15625
0.1,1.0,rbf,linear,7,0.8865248226950354,0.46875
0.1,1.0,rbf,linear,12,0.6914893617021277,0.4942528735632184
0.1,1.0,rbf,linear,17,0.5425531914893617,0.3875968992248062
0.1,1.0,rbf,rbf,7,0.8439716312056738,0.4772727272727273
0.1,1.0,rbf,rbf,12,0.7163120567375887,0.35
0.1,1.0,rbf,rbf,17,0.4858156028368794,0.3586206896551724
0.1,1.0,rbf,sigmoid,7,0.8404255319148937,0.5777777777777777
0.1,1.0,rbf,sigmoid,12,0.6595744680851063,0.4375
0.1,1.0,rbf,sigmoid,17,0.5354609929078015,0.4198473282442748
0.1,1.0,rbf,poly,7,0.8404255319148937,0.3111111111111111
0.1,1.0,rbf,poly,12,0.6737588652482269,0.25
0.1,1.0,rbf,poly,17,0.5425531914893617,0.20155038759689922
0.1,1.0,sigmoid,linear,7,0.8475177304964538,0.3953488372093023
0.1,1.0,sigmoid,linear,12,0.776595744680851,0.4126984126984127
0.1,1.0,sigmoid,linear,17,0.6737588652482269,0.3984375
0.1,1.0,sigmoid,rbf,7,0.8546099290780141,0.4146341463414634
0.1,1.0,sigmoid,rbf,12,0.6702127659574468,0.3333333333333333
0.1,1.0,sigmoid,rbf,17,0.7163120567375887,0.3382352941176471
0.1,1.0,sigmoid,sigmoid,7,0.8475177304964538,0.4186046511627907
0.1,1.0,sigmoid,sigmoid,12,0.6843971631205674,0.34831460674157305
0.1,1.0,sigmoid,sigmoid,17,0.6773049645390071,0.33076923076923076
0.1,1.0,sigmoid,poly,7,0.851063829787234,0.23809523809523808
0.1,1.0,sigmoid,poly,12,0.6879432624113475,0.3068181818181818
0.1,1.0,sigmoid,poly,17,0.6276595744680851,0.23741007194244604
0.1,1.0,poly,linear,7,0.8652482269503546,0.5263157894736842
0.1,1.0,poly,linear,12,0.6985815602836879,0.36470588235294116
0.1,1.0,poly,linear,17,0.5177304964539007,0.3161764705882353
